Fruta
Abacate
Abacaxi
Açaí
Acerola
Ameixa
Amora
Banana
Caju
Caqui
Carambola
Cereja
Coco
Cupuaçu
Damasco
Figo
Framboesa
Goiaba
Graviola
Groselha
Jabuticaba
Jaca
Jambo
Jenipapo
Kiwi
Laranja
Lichia
Limão
Maçã
Mamão
Manga
Maracujá
Melancia
Melão
Mirtilo
Morango
Nectarina
Nêspera
Pequi
Pera
Pêssego
Pitanga
Pitaya
Rambutan
Sapoti
Seriguela
Tamarindo
Tangerina
Toranja
Uva
Zimbro
